timestamp_sec,x_center,y_center,confidence
158.68,2759.00,711.71,0.4476
158.96,2934.23,271.26,0.4674
159.00,2880.92,329.45,0.6964
159.04,2827.89,391.01,0.6927
159.08,2773.96,457.67,0.6655
159.12,2732.46,518.32,0.6736
159.16,2777.28,449.02,0.7151
159.20,2819.55,400.34,0.6210
159.24,2860.86,339.61,0.6619
159.28,2906.10,295.34,0.5787
161.64,2944.80,982.72,0.5253
162.60,3713.27,174.06,0.4866
165.00,2382.77,18.76,0.7162
165.04,2347.81,52.69,0.6802
165.08,2302.74,103.74,0.6529
165.12,2263.13,147.35,0.6014
165.16,2225.74,206.53,0.6988
165.20,2187.59,255.48,0.6848
165.24,2149.86,309.28,0.7125
165.36,2114.33,178.01,0.5923
165.40,2109.24,143.16,0.6450
165.44,2093.22,109.92,0.6258
165.48,2083.36,75.70,0.6340
165.52,2072.44,45.34,0.6714
165.56,2061.09,23.85,0.6872
