epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1165.08,2.30575,8.896,0.95998,0.84788,0.70732,0.69597,0.31155,1.94764,13.9956,0.8968,0.00054,0.00054,0.00054
2,2284.08,2.00254,1.21116,0.88293,0.00051,0.09756,0.00029,0.00015,3.34503,36448.6,1.6356,0.00107822,0.00107822,0.00107822
3,3393.7,1.85757,0.89571,0.86906,0.90257,0.45217,0.50959,0.18459,2.26191,15.3344,0.91613,0.00159426,0.00159426,0.00159426
4,4504.1,1.95459,0.92277,0.8707,0.18144,0.63415,0.13635,0.04671,2.08581,15.7446,0.89172,0.0018812,0.0018812,0.0018812
5,5614.78,1.88347,0.87809,0.86399,0.5541,0.31707,0.37474,0.15315,2.32961,1.95168,0.9423,0.0018416,0.0018416,0.0018416
6,6722.39,1.8268,0.79589,0.85115,0.77504,0.78049,0.77902,0.27152,2.29522,1.179,0.92572,0.001802,0.001802,0.001802
7,7836.59,1.83318,0.77472,0.85385,0.18437,0.2439,0.12614,0.06289,2.31535,3.8589,0.97062,0.0017624,0.0017624,0.0017624
8,9123.39,1.70459,0.78284,0.85697,0.33871,0.5122,0.37745,0.10937,3.23038,2.0601,1.04059,0.0017228,0.0017228,0.0017228
9,10330.9,1.63259,0.70569,0.84517,0.74387,0.36585,0.46673,0.21617,1.99271,2.27657,0.89898,0.0016832,0.0016832,0.0016832
10,11577.5,1.74958,0.71955,0.83773,0.00344,0.19512,0.00171,0.00082,2.78701,555.529,0.99165,0.0016436,0.0016436,0.0016436
11,12789.5,1.73911,0.72505,0.84315,0.54317,0.37722,0.34437,0.11947,2.88885,1.73499,0.9862,0.001604,0.001604,0.001604
12,13962.9,1.72645,0.76608,0.83886,0.76575,0.34146,0.40801,0.14536,2.64768,2.40058,0.94076,0.0015644,0.0015644,0.0015644
13,15107.6,1.66025,0.7833,0.84966,0.99232,0.43902,0.49901,0.25336,1.9561,2.59978,0.93244,0.0015248,0.0015248,0.0015248
14,16340.2,1.62565,0.67387,0.84353,0.97166,0.5122,0.61951,0.31934,1.75163,1.75889,0.86735,0.0014852,0.0014852,0.0014852
15,17511.5,1.62247,0.67241,0.84361,0.99733,0.46341,0.55883,0.30308,1.65986,1.77226,0.85408,0.0014456,0.0014456,0.0014456
16,18778.3,1.56138,0.65434,0.82173,0.82855,0.65854,0.69856,0.33279,1.79538,1.55192,0.87279,0.001406,0.001406,0.001406
17,19989.4,1.60952,0.62987,0.83526,1,0.49598,0.68676,0.40413,1.68134,2.44468,0.87341,0.0013664,0.0013664,0.0013664
18,21214.5,1.51181,0.62119,0.8264,0.88079,0.36067,0.48246,0.23679,2.18794,2.4344,0.91341,0.0013268,0.0013268,0.0013268
19,22357.2,1.5029,0.61995,0.82719,0.96241,0.62462,0.74906,0.3835,1.85259,1.63888,0.87409,0.0012872,0.0012872,0.0012872
20,23431.7,1.56889,0.59581,0.82798,0.95993,0.58438,0.67781,0.2778,2.22986,1.55813,0.90087,0.0012476,0.0012476,0.0012476
21,24500.6,1.4775,0.58285,0.83927,0.95792,0.55544,0.68259,0.2629,2.26256,2.0807,0.89833,0.001208,0.001208,0.001208
22,25575.7,1.43686,0.55633,0.8339,0.94742,0.60976,0.80924,0.34694,2.24191,1.74045,0.8994,0.0011684,0.0011684,0.0011684
23,26646,1.47627,0.5653,0.81775,0.92588,0.65854,0.75926,0.3643,1.93165,1.65537,0.87438,0.0011288,0.0011288,0.0011288
24,27717.6,1.4011,0.54898,0.82529,0.99543,0.56098,0.74829,0.36288,1.93095,1.76153,0.87141,0.0010892,0.0010892,0.0010892
25,28789,1.49901,0.57449,0.83397,1,0.508,0.67496,0.43143,1.43233,2.94494,0.83788,0.0010496,0.0010496,0.0010496
26,29863.3,1.42287,0.55362,0.82228,0.96926,0.58537,0.77914,0.43459,1.62874,2.00178,0.84681,0.00101,0.00101,0.00101
27,30934.4,1.40313,0.54127,0.82092,0.88526,0.58537,0.68695,0.26437,2.20054,1.85891,0.91155,0.0009704,0.0009704,0.0009704
28,32003.3,1.37751,0.54444,0.81391,0.89986,0.43837,0.60819,0.31358,2.19852,2.52986,0.90519,0.0009308,0.0009308,0.0009308
29,33080.5,1.38353,0.5316,0.82964,0.99502,0.5122,0.75217,0.34706,2.10284,2.60258,0.88453,0.0008912,0.0008912,0.0008912
30,34148.9,1.33447,0.50866,0.81042,0.96501,0.67294,0.83724,0.37708,1.94119,1.90727,0.86836,0.0008516,0.0008516,0.0008516
31,35215.7,1.33062,0.51879,0.81025,0.99925,0.63415,0.79059,0.42638,1.91741,1.69863,0.86474,0.000812,0.000812,0.000812
32,36290.6,1.33834,0.51069,0.81565,1,0.62929,0.70773,0.35566,1.93406,1.86022,0.87194,0.0007724,0.0007724,0.0007724
33,37363.3,1.34322,0.50239,0.81638,0.96495,0.6717,0.8357,0.46032,1.78522,1.76557,0.86147,0.0007328,0.0007328,0.0007328
34,38432.3,1.38179,0.50445,0.82984,0.96625,0.69858,0.84289,0.42644,1.8637,1.65286,0.86549,0.0006932,0.0006932,0.0006932
35,39499.1,1.26585,0.48399,0.80826,0.84848,0.68293,0.80741,0.29864,2.38917,2.09602,0.91793,0.0006536,0.0006536,0.0006536
36,40569.6,1.30869,0.50959,0.81526,0.95257,0.68293,0.82573,0.36671,2.07041,1.92959,0.88605,0.000614,0.000614,0.000614
37,41641.8,1.29568,0.46887,0.81765,0.96654,0.70468,0.83253,0.47702,1.69135,1.5263,0.8538,0.0005744,0.0005744,0.0005744
38,42712.1,1.2377,0.49235,0.80628,0.95323,0.68293,0.85119,0.43669,1.89466,1.5997,0.86358,0.0005348,0.0005348,0.0005348
39,43782.7,1.24963,0.47308,0.80783,0.90909,0.73171,0.85071,0.4913,1.74566,1.81501,0.85726,0.0004952,0.0004952,0.0004952
40,44851.9,1.27467,0.47056,0.81157,0.94302,0.73171,0.84144,0.38584,2.0452,2.15629,0.87937,0.0004556,0.0004556,0.0004556
41,45921.1,1.24012,0.46609,0.80971,0.96649,0.70362,0.82097,0.4227,1.81375,1.90095,0.86188,0.000416,0.000416,0.000416
42,46986.1,1.22868,0.45796,0.81305,0.96772,0.73171,0.83983,0.45043,1.73194,1.70589,0.85748,0.0003764,0.0003764,0.0003764
43,48054.8,1.17791,0.45319,0.80909,0.90909,0.73171,0.84974,0.42924,1.82312,1.92002,0.85967,0.0003368,0.0003368,0.0003368
44,49121.2,1.23477,0.43865,0.83694,0.96774,0.73171,0.85677,0.41417,2.01262,1.8512,0.87515,0.0002972,0.0002972,0.0002972
45,50189.7,1.1585,0.47317,0.8101,0.92852,0.63371,0.8135,0.35499,2.19654,1.79753,0.89203,0.0002576,0.0002576,0.0002576
46,51264.8,1.16155,0.46193,0.80521,0.90909,0.73171,0.84974,0.39627,1.98403,1.71614,0.87392,0.000218,0.000218,0.000218
47,52334.9,1.18195,0.47315,0.79496,0.9375,0.73171,0.85346,0.43593,1.85033,1.75823,0.86254,0.0001784,0.0001784,0.0001784
48,53403.1,1.18014,0.42192,0.81954,0.90909,0.73171,0.84974,0.47159,1.78144,1.7903,0.85456,0.0001388,0.0001388,0.0001388
49,54473.1,1.12371,0.43039,0.81612,0.9375,0.73171,0.85346,0.44179,1.84012,1.75237,0.85834,9.92e-05,9.92e-05,9.92e-05
50,55539.9,1.14716,0.45028,0.81072,0.96665,0.70688,0.84974,0.45738,1.7952,1.68457,0.85712,5.96e-05,5.96e-05,5.96e-05
