timestamp_sec,x_center,y_center,confidence
155.08,3507.20,1136.88,0.3637
155.88,3510.11,1147.97,0.3235
156.60,3481.16,1087.00,0.3514
156.64,3474.31,1087.82,0.3579
157.00,3405.27,1089.24,0.4158
157.04,3390.93,1089.44,0.3279
157.16,3359.13,1070.37,0.5656
157.20,3351.79,1061.72,0.4854
157.32,3337.11,995.26,0.3309
157.48,3331.22,920.53,0.4536
157.52,3327.20,907.44,0.3514
157.56,3323.23,894.50,0.3944
157.64,3314.74,870.51,0.5943
157.68,3311.72,865.18,0.3589
157.84,3285.81,862.05,0.3497
157.88,3273.46,867.13,0.4620
158.24,2781.04,642.05,0.4457
158.40,2511.90,591.41,0.3035
158.68,2046.11,636.78,0.3584
158.88,1743.54,740.58,0.4763
158.96,1632.89,792.58,0.5866
159.08,1483.16,880.89,0.5144
159.12,1434.10,913.18,0.4518
159.24,1409.42,845.06,0.3860
159.28,1401.43,817.84,0.4614
159.32,1395.83,792.44,0.4298
159.72,2702.86,1294.89,0.3498
160.12,1246.15,754.12,0.4309
160.16,1237.98,778.32,0.6991
160.20,1236.51,815.77,0.6661
160.24,1226.39,855.30,0.5062
160.28,1222.92,899.59,0.5448
160.32,1219.09,942.55,0.6523
160.36,1216.28,990.16,0.6602
160.40,1217.27,1047.64,0.7170
160.44,1210.62,1101.71,0.7339
160.48,1211.86,1168.08,0.7271
160.52,1208.84,1229.32,0.6728
160.56,1204.86,1247.60,0.6872
160.60,1187.11,1158.23,0.6018
160.64,1174.97,1069.13,0.6550
160.68,1167.52,983.90,0.6937
160.72,1155.61,900.67,0.6701
160.76,1141.11,817.81,0.6953
160.80,1134.00,735.41,0.6317
160.92,1115.77,522.15,0.4279
160.96,1109.67,450.44,0.5428
161.00,1108.12,397.38,0.4188
161.08,1102.36,286.93,0.3389
161.12,1105.14,242.64,0.5534
161.92,1138.11,147.21,0.3488
161.96,1137.93,175.40,0.6514
162.00,1138.83,216.68,0.6179
162.04,1143.19,255.08,0.3192
162.16,1155.76,392.81,0.3301
162.20,1158.62,435.27,0.5803
162.24,1169.17,487.74,0.6714
162.32,1178.37,602.43,0.3760
162.40,1194.90,722.48,0.3416
162.48,1209.86,832.46,0.6458
162.52,1220.99,904.20,0.5987
162.56,1298.19,876.44,0.4299
162.64,1464.69,849.05,0.3215
162.72,1634.94,837.89,0.4872
163.16,2514.13,1007.53,0.4792
163.28,2677.63,1106.91,0.5251
163.40,2816.72,1214.86,0.5251
163.44,2797.81,1145.72,0.3130
163.48,2779.48,1073.83,0.5531
163.60,2710.97,891.46,0.5098
163.68,2660.10,775.18,0.6151
163.80,2588.30,649.46,0.4812
163.92,2523.95,549.72,0.3715
164.00,2479.68,494.21,0.5936
164.08,2433.81,455.47,0.5876
164.24,2354.04,404.39,0.4875
164.32,2317.34,397.37,0.3825
164.40,2282.54,397.59,0.3106
164.72,2161.07,455.96,0.3024
164.80,2127.25,485.04,0.5510
164.92,2093.33,535.58,0.4827
165.04,2051.20,602.46,0.4500
165.16,2021.00,670.75,0.4563
165.96,1986.08,493.49,0.3212
