frame_idx,ball_idx,world_x,world_y,world_z
783,0,-21.22293,60.36626,6.832986
1516,0,-21.20966,60.33412,6.8362856
12197,0,-21.218954,60.358032,6.835669
8332,0,-21.222015,60.3509,6.834078
521,0,-21.220995,60.363213,6.832235
11539,0,-21.222963,60.36708,6.835111
6679,0,-21.216276,60.340927,6.833014
12584,0,-21.22104,60.362583,6.83478
10282,0,-21.207674,60.322678,6.8352447
6813,0,-21.221676,60.36691,6.8314605
6417,0,-21.219616,60.3468,6.8335495
11193,0,-21.217932,60.33569,6.8361874
12322,0,-21.221966,60.364323,6.833915
11327,0,-21.217743,60.336037,6.8353567
13405,0,-21.21787,60.360596,6.8323483
9540,0,-21.20563,60.31446,6.837238
4165,0,-21.208256,60.33214,6.833687
8283,0,-21.205824,60.319344,6.835038
472,0,-21.220633,60.361813,6.833083
8021,0,-21.208387,60.32423,6.835011
12838,1,-21.218527,60.35535,6.8375473
10495,0,-21.205873,60.31507,6.8344707
12139,0,-21.22201,60.36429,6.834955
9145,1,-21.20897,60.3405,6.835484
10882,0,-21.20609,60.327847,6.8365197
8758,0,-21.22079,60.34304,6.834713
551,0,-21.220676,60.361908,6.833066
11011,1,-21.218225,60.342197,6.832049
6709,0,-21.216522,60.341366,6.833053
938,0,-21.222948,60.366955,6.832212
6447,0,-21.221163,60.365417,6.83374
9096,1,-21.205769,60.31568,6.8339114
7967,1,-21.208002,60.323395,6.8351374
8750,1,-21.20547,60.31375,6.835534
8313,0,-21.205975,60.31966,6.8350005
6448,1,-21.21957,60.35041,6.829267
8447,0,-21.21824,60.342705,6.835271
8051,0,-21.20821,60.31992,6.834624
12827,0,-21.219007,60.357574,6.8359585
1151,0,-21.221062,60.362873,6.83273
755,0,-21.217955,60.35655,6.833289
12565,0,-21.222624,60.366165,6.8355775
12169,0,-21.21965,60.34393,6.8369546
6794,0,-21.221031,60.350746,6.8320894
6398,0,-21.219755,60.34746,6.833089
10912,0,-21.206087,60.32688,6.836289
12952,0,-21.215956,60.351933,6.835289
7868,0,-21.219765,60.34073,6.834772
1364,0,-21.220116,60.36078,6.8331103
968,0,-21.219069,60.358967,6.8327684
13427,0,-21.221478,60.361973,6.837242
12170,0,-21.215406,60.338005,6.834487
9126,0,-21.20758,60.339096,6.834585
12595,0,-21.22087,60.36203,6.8376036
919,0,-21.222742,60.366203,6.8326364
6824,0,-21.21898,60.360737,6.8334846
13244,0,-21.219732,60.36077,6.835583
7869,0,-21.219725,60.34068,6.834891
573,0,-21.220755,60.362316,6.832765
6478,0,-21.21906,60.348663,6.830175
707,0,-21.207378,60.334103,6.836045
11591,0,-21.216953,60.3372,6.837942
9339,0,-21.205538,60.314873,6.8341794
1132,0,-21.220955,60.362244,6.8332586
9077,0,-21.219683,60.362186,6.8334193
8419,0,-21.21879,60.34547,6.8332806
13591,0,-21.217947,60.357773,6.8325753
13195,0,-21.21979,60.361084,6.8350797
786,0,-21.222755,60.366028,6.832873
1519,0,-21.209473,60.333435,6.836228
12200,0,-21.219105,60.358517,6.835192
11804,0,-21.223495,60.370155,6.8330064
6429,0,-21.219877,60.347836,6.8329244
10809,0,-21.213213,60.329254,6.835984
5771,0,-21.220924,60.35205,6.8351326
10285,0,-21.207142,60.32166,6.835252
2727,0,-21.223936,60.369545,6.831348
7899,0,-21.220352,60.347874,6.8339267
13012,0,-21.221848,60.36306,6.835312
603,0,-21.219728,60.3603,6.832831
12151,0,-21.22102,60.348835,6.834278
8286,0,-21.205446,60.31527,6.834967
10498,0,-21.20579,60.313877,6.8360724
12879,1,-21.21805,60.340187,6.8357506
11147,0,-21.219698,60.341183,6.835141
12230,0,-21.222927,60.366306,6.8345294
554,0,-21.220741,60.36215,6.832934
6459,0,-21.219248,60.34425,6.833892
12963,0,-21.219114,60.360886,6.8340693
8103,0,-21.206095,60.32024,6.8345904
