epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.33,2.90458,13.0782,1.07482,0.00036,0.10046,0.00023,7e-05,2.47462,15.5681,0.87457,0.000653595,0.000653595,0.000653595
2,1047.75,2.5851,6.18248,0.94095,0.85942,0.26027,0.48417,0.17072,2.79711,10.638,0.93425,0.00130719,0.00130719,0.00130719
3,1559.31,2.46169,4.21146,0.90289,0.87586,0.51548,0.57167,0.17397,2.8202,6.80298,0.9213,0.00194759,0.00194759,0.00194759
4,2070.33,2.40832,3.32405,0.88872,0.89555,0.58729,0.59916,0.21871,2.61203,4.39959,0.90188,0.0019406,0.0019406,0.0019406
5,2615.64,2.33798,2.5013,0.88649,0.65457,0.43836,0.36154,0.11694,2.91678,3.8843,0.98844,0.0019208,0.0019208,0.0019208
6,3153.4,2.29072,2.07403,0.89998,0.84709,0.52968,0.56948,0.23093,2.5833,2.79638,0.88329,0.001901,0.001901,0.001901
7,3683.54,2.23358,1.76974,0.8758,0.91978,0.65753,0.67057,0.25624,2.4283,2.79764,0.86283,0.0018812,0.0018812,0.0018812
8,4210.8,2.24916,1.68828,0.87152,0.86856,0.63364,0.64382,0.27304,2.40949,2.25587,0.86395,0.0018614,0.0018614,0.0018614
9,4741.04,2.15354,1.41856,0.87271,0.8145,0.59817,0.62444,0.24062,2.52593,2.08543,0.88576,0.0018416,0.0018416,0.0018416
10,5268.89,2.09062,1.35874,0.86056,0.73269,0.50685,0.5263,0.18327,2.85702,2.22279,0.91401,0.0018218,0.0018218,0.0018218
11,5797.47,2.10605,1.31582,0.87978,0.41181,0.57991,0.33427,0.10301,2.94056,2.50137,0.9137,0.001802,0.001802,0.001802
12,6336.62,2.15504,1.29018,0.86699,0.73959,0.47489,0.54313,0.2162,2.61881,1.9896,0.87392,0.0017822,0.0017822,0.0017822
13,6878.42,2.17117,1.21613,0.87815,0.86386,0.50228,0.6221,0.27571,2.50671,1.93019,0.87093,0.0017624,0.0017624,0.0017624
14,7420.22,2.08189,1.15588,0.86661,0.95803,0.68493,0.71827,0.30207,2.2733,1.98514,0.8578,0.0017426,0.0017426,0.0017426
15,7958.35,2.08719,1.15737,0.86273,0.87957,0.60731,0.66826,0.23992,2.47772,1.69707,0.88447,0.0017228,0.0017228,0.0017228
16,8493.62,1.98503,1.06893,0.86492,0.85688,0.57412,0.65166,0.31653,2.2538,1.63316,0.85767,0.001703,0.001703,0.001703
17,9030.52,2.1154,1.08284,0.86414,0.95388,0.6611,0.72048,0.33111,2.2585,1.65548,0.85233,0.0016832,0.0016832,0.0016832
18,9570.63,1.94369,0.98929,0.85423,0.98672,0.67832,0.74446,0.33193,2.32618,1.4009,0.85433,0.0016634,0.0016634,0.0016634
19,10107.9,2.02384,1.02585,0.8523,0.89202,0.621,0.65214,0.21407,2.69224,1.54661,0.89445,0.0016436,0.0016436,0.0016436
20,10648,1.93246,0.94135,0.8562,0.84314,0.58447,0.62035,0.25264,2.50458,1.65833,0.87285,0.0016238,0.0016238,0.0016238
21,11186.3,1.96801,0.95384,0.83871,0.95555,0.6871,0.73961,0.28767,2.40504,1.37151,0.86442,0.001604,0.001604,0.001604
22,11727.5,1.94686,0.96389,0.84598,0.90036,0.66017,0.71304,0.26136,2.44526,1.36844,0.87745,0.0015842,0.0015842,0.0015842
23,12266.8,2.00618,0.96325,0.84753,0.66782,0.53881,0.59295,0.2798,2.37336,1.6234,0.85855,0.0015644,0.0015644,0.0015644
24,12806.6,1.9446,0.9547,0.84326,0.8911,0.6621,0.69936,0.27888,2.30141,1.36644,0.86081,0.0015446,0.0015446,0.0015446
25,13344.2,1.96235,0.94364,0.85091,0.97387,0.7032,0.76609,0.29864,2.32929,1.24931,0.86125,0.0015248,0.0015248,0.0015248
26,13882,1.94555,0.94519,0.85407,0.8992,0.61187,0.64575,0.30577,2.50429,1.45239,0.88665,0.001505,0.001505,0.001505
27,14422.3,1.95825,0.9433,0.86146,0.84203,0.61644,0.64451,0.2422,2.52593,1.80558,0.87454,0.0014852,0.0014852,0.0014852
28,14957.1,1.9199,0.91084,0.84811,0.9577,0.68037,0.76201,0.32311,2.25505,1.18355,0.8562,0.0014654,0.0014654,0.0014654
29,15496.5,1.96579,0.94266,0.85124,0.79907,0.62557,0.70537,0.35975,2.02125,1.37356,0.83786,0.0014456,0.0014456,0.0014456
30,16087.9,1.88091,0.88979,0.8407,0.94572,0.71689,0.75702,0.3217,2.20139,1.24442,0.85076,0.0014258,0.0014258,0.0014258
31,16684.6,1.91556,0.89845,0.83182,0.93548,0.66204,0.73297,0.32768,2.3103,1.23828,0.85042,0.001406,0.001406,0.001406
32,17258,1.87443,0.88824,0.84378,0.88871,0.69282,0.72486,0.25269,2.26508,1.43411,0.87085,0.0013862,0.0013862,0.0013862
33,17781.1,1.88259,0.87427,0.83538,0.86759,0.65824,0.74386,0.29004,2.39696,1.38654,0.86253,0.0013664,0.0013664,0.0013664
34,18306.4,1.91626,0.87917,0.84751,0.73674,0.621,0.60609,0.21327,2.4649,1.37869,0.87797,0.0013466,0.0013466,0.0013466
35,18830.4,1.8732,0.86898,0.84313,0.94056,0.68037,0.78811,0.38192,2.13969,1.07709,0.84188,0.0013268,0.0013268,0.0013268
36,19356.3,1.88001,0.86103,0.84551,0.93251,0.65753,0.75849,0.28785,2.36869,1.25631,0.86728,0.001307,0.001307,0.001307
37,19883.4,1.91446,0.8689,0.84361,0.9414,0.66022,0.71293,0.27199,2.33911,1.26551,0.86915,0.0012872,0.0012872,0.0012872
38,20408.3,1.99663,0.94164,0.85442,0.89055,0.63161,0.68772,0.24543,2.71428,1.41117,0.89187,0.0012674,0.0012674,0.0012674
39,20935.5,1.89933,0.91467,0.84271,0.91348,0.67491,0.75514,0.33806,2.22335,1.14513,0.84897,0.0012476,0.0012476,0.0012476
40,21462.5,1.88946,0.86659,0.83708,0.95143,0.7155,0.78954,0.35329,2.1706,1.1227,0.84776,0.0012278,0.0012278,0.0012278
41,21986.3,1.84036,0.83546,0.84578,0.97071,0.69406,0.76189,0.34208,2.16368,1.05507,0.84427,0.001208,0.001208,0.001208
